requests_per_min,failed_logins,endpoint_freq_score,status_4xx_ratio,status_5xx_ratio,auth_failures,label
5,0,0.7711775462904071,0.0034129904071177886,0.009740885989399263,0,1
6,0,0.9532236203146705,0.06829819923269768,0.009319476526945066,0,1
5,0,0.9906212466684239,0.08661260590941704,0.001177443501795017,0,1
8,0,0.9183374466078691,0.030151453523953355,0.007323069254345531,0,1
8,0,0.7423688573791727,0.0024222338418137036,0.0057067699034934255,0,1
8,0,0.7949652398432872,0.031026861867988243,0.017737605702420813,1,1
3,1,0.7381531594575632,0.004654003956497399,0.011244706434289573,0,1
2,0,0.8746994866702027,0.06230937353277806,0.0011619330798037985,0,1
8,1,0.8160883238553212,0.04599783135112659,0.009121324185338332,0,1
2,0,0.7070963119294937,0.031087011721747305,0.008523166502905539,0,1
6,1,0.8790484664095721,0.09585082693602053,0.01645697811044888,0,1
4,0,0.7294934380711712,0.061164733273759854,0.010660550097254041,0,1
5,0,0.79540192581832,0.0955699558918872,0.0054531052630685676,0,1
7,0,0.7147149664809663,0.055531155728705754,0.019211254032513503,0,1
9,0,0.7458716332150686,0.05629692349042029,0.010342346092703038,0,1
3,0,0.8796609931680524,0.06973835240876468,0.0018350377565169152,0,1
7,0,0.8488779934125517,0.023918644893858032,0.0015765599422040233,0,1
1,0,0.9847396458749993,0.07153470212874742,0.011092428182572231,0,1
5,0,0.8553050957590222,0.06208040852687936,0.012982072697291996,0,1
5,0,0.7728532909001342,0.06241624559078754,0.017903008001805606,0,1
11,0,0.8589174840426002,0.002756824083584564,0.018054338696223988,1,1
3,0,0.7930930394630468,0.07297354999183951,0.009424366979986455,0,1
4,0,0.9227902848602563,0.08693493438130818,0.0020904854312862376,0,1
7,0,0.9157166193330598,0.0044494426818399106,0.011391153293558434,0,1
5,0,0.8782038102724252,0.03112388686675537,0.0033992012511234893,0,1
36,13,0.13633935288564505,0.5555385056118043,0.3122193380034937,3,-1
5,0,0.97124222467129,0.02057705219543714,0.015680381075424184,0,1
4,0,0.8055453746260423,0.055326440203273056,0.007340034842617676,0,1
4,0,0.7534047841664578,0.005854142195007794,0.008954657793627214,0,1
3,0,0.7916312506884571,0.004567573856635321,0.014380331848103485,0,1
8,0,0.943338281219192,0.07769142992545064,0.01855504342044906,0,1
7,0,0.9654163818266863,0.07172608514766309,0.01839762045057573,0,1
6,0,0.812340066739166,0.032581787910568316,0.011571929393590927,0,1
53,17,0.06274410496891618,0.8358411020697831,0.7708931555294787,4,-1
7,0,0.9495611228052891,0.09037299762136376,0.01857691951752509,0,1
7,0,0.881178485315593,0.0877464949671778,0.006383754202476819,0,1
8,0,0.9761841693851044,0.01394646545990349,0.0008670642823905616,0,1
0,0,0.934871243075368,0.07907768085725791,0.002486731468789305,0,1
8,0,0.7965052140001103,0.08198769118260782,0.0064438884795257455,0,1
3,0,0.7061567535137545,0.030905424200034982,0.015615255254968062,0,1
7,0,0.9438190148294757,0.07790448701974322,0.006160725498564696,0,1
2,0,0.726292713648922,0.09867899455700829,0.014543602958919582,0,1
1,0,0.784490738006037,0.057711715722595126,0.01455346364615667,0,1
5,0,0.8085862214944687,0.04898864402897695,0.003080057470645996,0,1
3,0,0.7480614263186636,0.0433218635177845,0.0046577102265995055,0,1
0,0,0.8560538205695563,0.09516040689185483,0.005153810496679132,0,1
8,0,0.8952391425160239,0.00044794769197076256,0.011700840962894848,0,1
4,0,0.9388111464590687,0.038257370581560673,0.01594433332192992,0,1
15,0,0.7233923270565434,0.004935404319916481,0.004645753760166824,0,1
6,0,0.7207103250392999,0.016210935543020145,0.002411326988433342,0,1
9,0,0.8752583906003686,0.02387136918487337,0.0028656622856113078,0,1
6,0,0.8829105496454632,0.0831586485672828,0.00880299262691917,0,1
7,0,0.7186074626058349,0.07602712434028337,0.012210186304759892,0,1
5,0,0.9288003449162926,0.000969516833437456,0.004150292505004605,0,1
4,0,0.8477992677491586,0.08190574556693499,0.010072430621774636,0,1
60,8,0.30363336938351054,0.8953603319052027,0.3061761008182634,10,-1
7,0,0.7064922069923754,0.016054008660175978,0.014946491369034453,0,1
9,0,0.8894734328437259,0.02041222845580977,0.005836750469209307,0,1
7,0,0.9316966135679098,0.08554783401603136,0.008597144580349847,0,1
2,0,0.7890388421440493,0.05448535578360384,0.018244045760498647,0,1
4,0,0.73988568122979,0.06453059290176053,0.008009076173634895,0,1
1,0,0.9027444599248275,0.09687660395681934,0.003336034807416701,0,1
5,0,0.8631089075425425,0.09170987685830072,0.006553595479248365,1,1
8,1,0.9485654225395124,0.028421058691906344,0.0029528085570511785,0,1
5,0,0.907070000024357,0.06640723676838556,0.014458002008906384,0,1
7,0,0.8524859319174772,0.03422818430319944,0.01942877760073184,0,1
6,0,0.7046762754326091,0.023960482291954566,0.004082525693263943,0,1
5,0,0.7698034530466256,0.04458773419148428,0.007789023569838474,0,1
4,0,0.8822286282763452,0.014821910980351662,0.015345771385961859,1,1
5,0,0.7971172692960725,0.058610711793722285,0.012969955023382143,0,1
10,0,0.9600348361346971,0.07794306078033432,0.007873964261152997,0,1
3,0,0.8082549778838076,0.05435605896944698,0.005189754147517058,0,1
3,0,0.9937899992252216,0.05991648733671665,0.006451098618922908,0,1
3,1,0.8578626030172047,0.053153679695399,0.006054579879438902,0,1
3,0,0.9468850960066648,0.032479450286336864,0.012841064953117792,0,1
4,0,0.7212739932357973,0.012095776175452344,0.00021894747662737802,0,1
7,0,0.7161325383846147,0.04435013825500416,0.019801962384321033,0,1
5,0,0.9263613928453311,0.020985580048453946,0.00699103576406692,0,1
4,0,0.940763070692967,0.08857823579196283,0.016408571179188768,0,1
7,0,0.8909335083546271,0.04057296929886685,0.009610259723834716,0,1
7,0,0.7038810676826067,0.06608175834598394,0.00473783386522661,0,1
4,0,0.8813874316606761,0.03547509359462767,0.011779636871783917,0,1
3,0,0.8173654495124263,0.02788366132106962,0.016332184112021503,0,1
4,1,0.8025022119853849,0.06526296360752237,0.002922079991513318,0,1
11,0,0.8395006039080078,0.028324906227737447,0.009591771694393306,0,1
3,1,0.9686685190980633,0.0735624150217509,0.008477494868689291,0,1
5,0,0.8816200401251572,0.06470350245670872,0.001973057925417949,0,1
1,0,0.8723788749112988,0.0392502012270218,0.0039600146844050825,0,1
6,0,0.895737444546386,0.0956635013477613,0.018330745612040504,0,1
29,10,0.23309163839384406,0.6414635303783295,0.7475075657234642,5,-1
9,0,0.9024225182314265,0.028804400978485058,0.01801868991058561,0,1
5,0,0.8255810852151905,0.04751891600421437,0.01988927939792003,0,1
3,0,0.7144035596827578,0.0951396956260918,0.005977243170532869,0,1
6,0,0.9738077120333247,0.06202048319408592,0.011628123137131328,0,1
13,0,0.9601851657667335,0.036445984793964346,0.012812342484511161,0,1
6,0,0.9844621185446394,0.07915310711650553,0.01029706576922242,0,1
8,0,0.9598533764935158,0.04399104439122144,0.018984812753742794,0,1
7,0,0.8250826048813178,0.06629492734296112,0.009190645460519859,1,1
10,1,0.9698755649386288,0.05469090192652281,0.01788983089749583,1,1
3,0,0.8822445452347033,0.05080273155538209,0.011869034783411208,0,1
2,0,0.9391619715118098,0.05695211466330335,0.01705446755669513,1,1
8,0,0.9947406537360082,0.05547463038319256,0.0022789122736102474,0,1
2,0,0.9930584406389691,0.008061128846621758,0.01789331441288925,0,1
8,0,0.9609472026661094,0.06676693147712001,0.01767450303906823,0,1
5,0,0.7126383210858985,0.03957577037223166,0.018754799673475122,0,1
6,0,0.971882571876806,0.016482188299022628,0.008687030396919407,0,1
8,0,0.7008186233539047,0.09901728054184318,0.010183927062761193,0,1
6,0,0.713623046825111,0.027698025997493415,0.0195485673816494,0,1
4,0,0.9392259913866478,0.02947322757766914,0.010851420984076278,0,1
3,0,0.7262043965444287,0.07757557906202046,0.0011761877582536374,1,1
89,13,0.38399512163235655,0.45145737400946884,0.2528850386618692,7,-1
3,0,0.7338311675467459,0.07285425986619441,0.01098105879715338,0,1
39,12,0.26835910429341564,0.5741332591104396,0.5195180234385176,9,-1
5,0,0.8964287585518751,0.05132883603864953,0.016379526360332,0,1
11,0,0.9274415384527863,0.08486383979530593,0.003882075343342162,0,1
8,1,0.9962661486584696,0.03018312978744836,0.012914556316010245,0,1
5,0,0.8705746542069993,0.09972051439743013,0.013805187234932821,0,1
8,0,0.7570719651426396,0.009465438039363916,0.008799207529244244,0,1
7,1,0.7220951303816026,0.02102012144525203,0.0007453744552707976,0,1
4,0,0.9989662324527643,0.038441820672976836,0.0066815688333823455,0,1
85,9,0.1125706857817896,0.8563322857130701,0.5974151491333085,9,-1
5,0,0.9100388687367859,0.045029862624374674,0.012875238999056434,0,1
2,1,0.8213128602148736,0.051825231141320996,0.011489092765815915,0,1
1,0,0.9745980210796279,0.06288397885586829,0.00048816357185216486,0,1
7,0,0.8735412769041172,0.04307854685287674,0.00027695271012763813,0,1
6,0,0.8696328200545355,0.02933275032907583,0.002775660282134598,0,1
4,0,0.8088210604362629,0.08486653117871795,0.019091234906964762,0,1
6,0,0.9526046559155523,0.026631231559797464,0.00545572941361663,0,1
9,0,0.704956818935958,0.06978198430863103,0.005513539953518951,0,1
1,0,0.8914826858260434,0.04611031852005204,0.005902189357632097,0,1
4,0,0.9179510378220888,0.08558396254949197,0.014918352219257993,0,1
1,0,0.7332641825795455,0.07267805523552677,0.015711761681058402,0,1
1,0,0.7261194109938901,0.012564097710959643,0.015008616976677262,0,1
5,0,0.7719622177108154,0.09706412467498882,0.01592710453586364,0,1
7,0,0.7434726521218519,0.08245758703294447,0.01742711832356178,0,1
3,0,0.8007694810351021,0.03214886927901909,0.018726172727865812,0,1
3,1,0.7707284538590718,0.007895482693156819,0.003007002518384605,0,1
7,0,0.7226152763931265,0.040411618154616,0.009316772778384918,0,1
5,0,0.9806696680606659,0.014131274449416021,0.00209753776698002,0,1
5,0,0.9225278430672892,0.09416427377373945,0.015723971536700566,0,1
2,0,0.8631331926519656,0.04896730655165619,0.014597733290454938,1,1
9,0,0.86057180107442,0.04566009242058158,0.012414480240484032,0,1
5,0,0.7605706460199817,0.00541154678036494,0.008776802654323068,0,1
6,0,0.8069626429642817,0.014799352443040892,0.014738169896916833,0,1
4,0,0.9367032529164491,0.061773121635463,0.007214579689921723,0,1
4,0,0.9441748319698253,0.03932217588042362,0.007109160009649494,0,1
6,0,0.8422189372463522,0.02437366620278099,0.009711320076705268,0,1
5,0,0.9227129148617914,0.026936477754854894,0.012466160618784155,0,1
4,0,0.7910006147184961,0.07518120763276663,0.000392071360925641,0,1
3,0,0.9492239664161668,0.09618331662913197,0.01761846598176477,0,1
3,0,0.9459134868259975,0.08549860148320576,0.013129966251577748,0,1
96,17,0.33503408767677817,0.6812324709236013,0.5754478077168441,6,-1
6,0,0.7628889663854038,0.06533982675899892,0.005666057263994047,0,1
5,0,0.9720838009445991,0.010629486049964144,0.013974798146598981,0,1
5,0,0.941783466614246,0.03233230995267489,0.018008791191965978,0,1
9,0,0.8479644530786781,0.09798101738893551,0.010417540915162138,0,1
8,0,0.8156272534259933,0.06514298121960167,0.002779165287670364,0,1
9,0,0.9007286334565772,0.027961289842543837,0.019152189662567085,0,1
5,0,0.7096905738746045,0.02146475487701981,0.015976210397310037,0,1
10,1,0.8739502701011089,0.07564393706335737,0.01368709202496625,0,1
2,0,0.9453663226386247,0.04392294771691884,0.0027692919213935176,0,1
4,0,0.9736103101099908,0.06463930515080782,0.01132349083510956,0,1
7,0,0.7201196885624127,0.07974489200763102,0.007844404572040558,0,1
5,0,0.7352701211419683,0.017875850347106436,0.010195667314831685,0,1
5,1,0.8662051057322856,0.013903415881837756,0.014486548016280425,0,1
5,0,0.7271559693847639,0.09476572669690954,0.011707844220732885,0,1
6,0,0.9610724974741005,0.0006990785399174082,0.015588467282951457,0,1
5,0,0.9911429939325347,0.0724294507191329,0.0027558674927694506,0,1
1,0,0.7244574192785759,0.012546538906806027,0.01615219398070008,0,1
4,0,0.8316134646651401,0.022036969056649147,0.008786610055864006,0,1
76,9,0.36332647035290916,0.9020970065893885,0.33437393104252067,3,-1
2,0,0.9821250377897579,0.06534725229595612,0.00379607917332776,1,1
14,0,0.8757281075112674,0.009136173730887676,0.013419160681405957,0,1
5,0,0.989208487249732,0.0003778185203477058,0.0004645342692223542,0,1
5,0,0.7659253793152202,0.03709236601589762,0.014460179500002047,0,1
2,1,0.8673628947606551,0.011793319489517451,0.00698187463364923,0,1
5,0,0.7731135088843557,0.026824269316405792,0.012009316263524921,0,1
1,0,0.7812508113086997,0.08594657779705656,0.00464217925759552,0,1
6,0,0.874507175424304,0.043251297474654685,0.014791127501986088,0,1
7,0,0.8945450025610383,0.059010855209356186,0.011953670050675123,0,1
1,0,0.8828743888910802,0.0702920998061968,0.00821824586265707,0,1
5,0,0.7671026794319361,0.06447255863408952,0.0028152843739844037,0,1
3,0,0.9116005650433904,0.04620968241927695,0.01663279251989287,0,1
